title	address	lat	lng	type
ibis Styles Makassar Sam Ratulangi	Jl. DR. Ratulangi No.3, Mangkura, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90114, Indonesia	-5.148785	119.41608599999999	Hotel
ibis Makassar City Center	Jl. Maipa No.8, Sulawesi Selatan 90112, Indonesia	-5.144647	119.410461	Hotel
Aryaduta Makassar	Jl. Somba OPU No.297, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia	-5.1460171	119.4089771	Hotel
"Hotel Bintang 5 ""Assalam"""	Q9RR+C7C, Barombong, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225, Indonesia	-5.2089474	119.3906473	Hotel
Four Points by Sheraton Makassar	Jl. Andi Djemma No.130, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia	-5.167733999999999	119.42832729999999	Hotel
favehotel Pantai Losari - Makassar	Jl. Daeng Tompo No.28-36, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90112, Indonesia	-5.1431077	119.4096768	Hotel
Aston Makassar Hotel & Convention Center	Jl. Sultan Hasanuddin No.10, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174, Indonesia	-5.137185	119.4084085	Hotel
Hotel Pengayoman	Ruko Alfa, Jl. Pengayoman No.3-5, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1606306	119.44987929999999	Hotel
Novotel Makassar Grand Shayla	Jl. Chairil Anwar No.28, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.1394665999999996	119.41388309999999	Hotel
Hotel Horison Ultima Makassar	Jl. Jend. Sudirman No.24, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.1416883	119.4143524	Hotel
Hotel Sahid Jaya Makassar	Jl. DR. Ratulangi No.33, Mamajang Luar, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132, Indonesia	-5.1525	119.41694439999999	Hotel
CLARO HOTEL MAKASSAR	Jl. A. P. Pettarani No.03, Mannuruki, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221, Indonesia	-5.1695129	119.43316159999999	Hotel
Arthama Hotel Makassar	Jalan Haji Bau No.5 Mangkura, Losari, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia	-5.1483607	119.4103009	Hotel
Karebosi Premier	Jl. Jend. M. Jusuf No.1, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90157, Indonesia	-5.132677	119.4138397	Hotel
Hotel MaxOne Makassar	Jl. Taman Makam Pahlawan No.5, Tello Baru, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90233, Indonesia	-5.147467	119.4615401	Hotel
Gammara Hotel Makassar	Jl. Metro Tj. Bunga, Kp. Buyang, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90121, Indonesia	-5.157546	119.4044354	Hotel
Golden Tulip Essential Makassar	Jl. Sultan Hasanuddin No.43, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia	-5.140522499999999	119.4106674	Hotel
Capital O 1279 Hotel Grand Celino Makassar	Jl. Lanto Dg. Pasewang No.27, Maricaya, Kec. Makassar, Kota Makassar, Sulawesi Barat 90142, Indonesia	-5.1516459999999995	119.4189753	Hotel
Grand Wisata Hotel	Jl. Sultan Hasanuddin No.36-38, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.140388	119.41009199999999	Hotel
The Rinra Hotel Makassar	Mall Phinisi Point, Jl. Metro Tj. Bunga No.2, Panambungan, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90112, Indonesia	-5.1527281	119.4039256	Hotel
Whiz Prime Hotel Hasanuddin Makasar	Jl. Sultan Hasanuddin No.4, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia	-5.1366811	119.4079742	Hotel
MYKO Hotel & Convention Center Makassar	Mall Panakkukang, Jl. Boulevard, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1571055999999995	119.4473103	Hotel
Al-Badar Hotel Syariah Makassar	Ruko Mirah 2, Jl. Pengayoman No.11, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1608	119.44903	Hotel
Grand Populer Hotel	Jl. Sulawesi No.30, Pattunuang, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90173, Indonesia	-5.131165	119.406646	Hotel
Whiz Prime Hotel Sudirman Makassar	Jl. Jend. Sudirman No.30, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.1422588	119.4145659	Hotel
Teraskita Hotel Makassar managed by DAFAM	Jl. A. P. Pettarani No.88, Banta-Bantaeng, Rappocini, Makassar City, South Sulawesi 90222, Indonesia	-5.160801	119.4357721	Hotel
RedDoorz Plus Syariah @ Grand Sayang Park Hotel Makassar	Jl. Manunggal 22, Maccini Sombala, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia	-5.1673946	119.40161889999999	Hotel
