title	address	lat	lng	type
Puskesmas Maccini Sawah	Jl. Maccini Sawah No.38, Maccini, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90232, Indonesia	-5.137353	119.42953299999999	Pusat Kesehatan Masyarakat
Puskesmas Tamamaung	Jl. Abdullah Daeng Sirua No.158, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1514340999999995	119.4455588	Pusat Kesehatan Masyarakat
Puskesmas Cendrawasih	Jl. Cendrawasih No.404, Sambung Jawa, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90126, Indonesia	-5.1741717	119.4097319	Pusat Kesehatan Masyarakat
Puskesmas Dahlia	Jl. Seroja No.03, Kp. Buyang, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90121, Indonesia	-5.160087	119.407282	Pusat Kesehatan Masyarakat
Puskesmas TODDOPULI Makassar	RFQ3+973, Jl. Toddopuli Raya, Paropo, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90233, Indonesia	-5.1616072	119.453164	Pusat Kesehatan Masyarakat
Puskesmas Karuwisi	Jl. Urip Sumoharjo Lorong II No.42, Karuwisi Utara, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232, Indonesia	-5.1321576	119.4331452	Pusat Kesehatan Masyarakat
Puskesmas Pampang	Jl. Pampang II No.28-A, Pampang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.134096899999999	119.44593069999999	Pusat Kesehatan Masyarakat
Puskesmas Antara	JL. Perintis Kemerdekaan III, Komplek BTN Antara Blok B. 10 No. 6, Daya, Makassar, Kota Makassar, Sulawesi Selatan 90241, Indonesia	-5.137332	119.4783344	Pusat Kesehatan Masyarakat
Puskesmas Bara Baraya	Jl. Abubakar Lambogo No.143, Bara-Baraya, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90143, Indonesia	-5.144493	119.431	Pusat Kesehatan Masyarakat
Puskesmas Jongaya	Jl. Andi Tonro No.49, Pa'baeng-Baeng, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223, Indonesia	-5.1720229	119.4249598	Pusat Kesehatan Masyarakat
Puskesmas Minasa Upa	Jl. Minasa Upa No.18, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90122, Indonesia	-5.1850993999999995	119.45294659999999	Pusat Kesehatan Masyarakat
Puskesmas Makkasau	Jl. Andi Makkasau Lorong 5A No.19, Mangkura, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90114, Indonesia	-5.1504784	119.4171935	Pusat Kesehatan Masyarakat
Puskesmas Toddopuli	Jl. Toddopuli Raya No.96, Paropo, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.161779	119.452843	Pusat Kesehatan Masyarakat
Puskesmas Malimongan Baru	Jl. Sultan Dg. No.2, Malimongan Baru, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90152, Indonesia	-5.131916899999999	119.430488	Pusat Kesehatan Masyarakat
Puskesmas Kassi Kassi	Jl. Tamalate 1 No.43, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia	-5.1691787	119.44666489999999	Pusat Kesehatan Masyarakat
Puskesmas Antang	Jl. Antang Raya No.43, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234, Indonesia	-5.1604809	119.47750339999999	Pusat Kesehatan Masyarakat
