title	address	lat	lng	type
SMA Negeri 1 Makassar	Jl. G. Bawakaraeng No.53, Gaddong, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90111, Indonesia	-5.1349863	119.4186289	Sekolah Menengah Atas
SMA Negeri 16 Makassar	Jl. Amanagappa No.8, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.1374913	119.4114086	Sekolah Menengah Atas
SMA Negeri 13 Makassar	Jl. Tamangapa Raya 3 No.37, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235, Indonesia	-5.1753111999999994	119.47788879999999	Sekolah Menengah Atas
SMAN 5 Makassar	Jl. Taman Makam Pahlawan No.4, Tello Baru, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90233, Indonesia	-5.1489306	119.4610707	Sekolah Menengah Atas
SMA Negeri 3 Makassar	Jl. Baji Areng No.18, Baji Mappakasunggu, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90121, Indonesia	-5.1683981999999995	119.41318319999999	Sekolah Menengah Atas
SMA Negeri 8 Makassar	Jl. Andi Mangerangi 2 Lorong 3 No.24, Bongaya, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90131, Indonesia	-5.1699019	119.414193	Sekolah Menengah Atas
Sekolah Menengah Atas Negeri 11 Makassar	Jl. Andi Mappaodang No.28, Jongaya, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90223, Indonesia	-5.171647	119.4162216	Sekolah Menengah Atas
SMA Negeri 14 Makassar	Jl. Baji Minasa No.9, Tamarunang, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90122, Indonesia	-5.1657372	119.40884899999999	Sekolah Menengah Atas
Sekolah Menengah Atas Nasional Makassar	Jl. DR. Ratulangi No.84, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia	-5.1569116	119.4160538	Sekolah Menengah Atas
SMA Negeri 12 Makassar	Jl. Moha Lasuloro No.57, Antang, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234, Indonesia	-5.1630984	119.48360269999999	Sekolah Menengah Atas
SMA Negeri 10 Makassar	Jl. Tamangapa Raya 5 No.12, Tamangapa, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90325, Indonesia	-5.1851118	119.4883481	Sekolah Menengah Atas
SMA Negeri 1 Gowa	Jl. Andi Mallombasang No.1A, Pandang Pandang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111, Indonesia	-5.2034252	119.4473659	Sekolah Menengah Atas
