title	address	lat	lng	type
SMP Negeri 1 Makassar	Jl. Baji Areng No.17, Baji Mappakasunggu, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90121, Indonesia	-5.1682254	119.413213	Sekolah Menengah Pertama
SMP Negeri 2 Makassar	Jl. Amanagappa No.4, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.1375443999999995	119.4109888	Sekolah Menengah Pertama
SMPN 27 Makassar	Jl. Dg. Tata Komp. Hartaco Indah No.99, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia	-5.187192	119.41704159999999	Sekolah Menengah Pertama
SMP Negeri 3 Makassar	Jl. Baji Gau No.11, Bongaya, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90134, Indonesia	-5.1704516	119.4129612	Sekolah Menengah Pertama
SMP Negeri 6 Makassar	Jl. Ahmad Yani No.25, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171, Indonesia	-5.1332507	119.40912569999999	Sekolah Menengah Pertama
Sekolah Menengah Pertama Negeri 29 Makassar	Jl. A. Mappanyukki No.66, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia	-5.1570538	119.4146693	Sekolah Menengah Pertama
SMPN 13 MAKASSAR	Jl. Tamalate VI No.2, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia	-5.1710327	119.44967589999999	Sekolah Menengah Pertama
SMP Negeri 19 Makassar	Jl. Tamangapa Raya 3 No.34, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235, Indonesia	-5.1749676	119.4782857	Sekolah Menengah Pertama
SMP Negeri 33 Makassar	Jl. Tamalate 8 No.148, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia	-5.1717682	119.45041789999999	Sekolah Menengah Pertama
SMP Negeri 8 Makassar	Jl. Batua Raya No.1, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233, Indonesia	-5.1503891	119.4610086	Sekolah Menengah Pertama
