"Rank"	"Count"	"Amount"	"FirstTwo"
1	160	-Rp120	11,00
2	111	-Rp140	13,00
3	108	-Rp30	29,00
4	88	-Rp240	23,00
5	86	-Rp359	35,00
6	78	-Rp994	99,00
7	74	-Rp479	47,00
8	67	-Rp599	59,00
9	60	-Rp150	15,00
10	60	-Rp839	83,00
11	54	-Rp35	34,00
12	52	-Rp719	71,00
13	44	-Rp280	27,00
14	44	-Rp899	89,00
15	42	-Rp105	10,00
16	39	-Rp958	95,00
17	37	-Rp100	99,00
18	37	-Rp419	41,00
19	32	-Rp132	13,00
20	30	-Rp152	15,00
21	27	-Rp160	15,00
22	27	-Rp559	55,00
23	26	-Rp70	69,00
24	26	-Rp699	69,00
25	26	-Rp1538	15,00
26	25	-Rp839	83,00
27	25	-Rp979	97,00
28	25	-Rp1078	10,00
29	24	-Rp1118	11,00
30	24	-Rp1198	11,00
31	23	-Rp20	20,00
32	23	-Rp90	89,00
33	23	-Rp320	31,00
34	22	-Rp479	47,00
35	21	-Rp799	79,00
36	20	-Rp300	30,00
37	20	-Rp639	63,00
38	19	-Rp1159	11,00
39	17	-Rp1258	12,00
40	16	-Rp264	26,00
41	15	-Rp108	10,00
42	15	-Rp610	61,00
43	15	-Rp1153	11,00
44	15	-Rp1398	13,00
45	15	-Rp1557	15,00
46	15	-Rp1678	16,00
47	14	-Rp395	39,00
48	13	-Rp100	10,00
49	13	-Rp110	11,00
50	13	-Rp934	93,00
51	13	-Rp959	95,00
52	13	-Rp1438	14,00
53	12	-Rp24	24,00
54	12	-Rp1318	13,00
55	12	-Rp1957	19,00
56	12	-Rp2037	20,00
57	11	-Rp180	17,00
58	11	-Rp200	19,00
59	11	-Rp270	26,00
60	11	-Rp304	30,00
61	11	-Rp2097	20,00
62	10	-Rp180	17,00
63	10	-Rp220	22,00
64	10	-Rp809	80,00
65	10	-Rp1797	17,00
66	9	-Rp60	59,00
67	9	-Rp1917	19,00
68	8	-Rp12	12,00
69	8	-Rp25	25,00
70	8	-Rp50	50,00
71	8	-Rp90	89,00
72	8	-Rp1049	10,00
73	8	-Rp1278	12,00
74	7	-Rp55	54,00
75	7	-Rp75	74,00
76	7	-Rp216	21,00
77	7	-Rp315	31,00
78	7	-Rp450	45,00
79	7	-Rp527	52,00
80	7	-Rp659	65,00
81	7	-Rp988	98,00
82	6	-Rp21	20,00
83	6	-Rp30	29,00
84	6	-Rp36	36,00
85	6	-Rp112	11,00
86	6	-Rp124	12,00
87	6	-Rp600	60,00
88	6	-Rp1677	16,00
89	6	-Rp1817	18,00
90	6	-Rp2237	22,00
91	5	-Rp17	17,00
92	5	-Rp128	12,00
93	5	-Rp128	12,00
94	5	-Rp323	32,00
95	5	-Rp330	33,00
96	5	-Rp449	44,00
97	5	-Rp928	92,00
98	5	-Rp1083	10,00
99	4	-Rp19	18,00
100	4	-Rp30	29,00
101	4	-Rp44	43,00
102	4	-Rp74	74,00
103	4	-Rp75	75,00
104	4	-Rp81	80,00
105	4	-Rp200	20,00
106	4	-Rp210	20,00
107	4	-Rp524	52,00
108	4	-Rp750	75,00
109	4	-Rp964	96,00
110	4	-Rp1119	11,00
111	3	-Rp10	10,00
112	3	-Rp12	12,00
113	3	-Rp25	24,00
114	3	-Rp27	26,00
115	3	-Rp28	27,00
116	3	-Rp32	31,00
117	3	-Rp33	33,00
118	3	-Rp35	35,00
119	3	-Rp36	35,00
120	3	-Rp37	36,00
121	3	-Rp48	47,00
122	3	-Rp60	59,00
123	3	-Rp65	65,00
124	3	-Rp72	72,00
125	3	-Rp74	74,00
126	3	-Rp78	77,00
127	3	-Rp81	80,00
128	3	-Rp86	85,00
129	3	-Rp90	90,00
130	3	-Rp102	10,00
131	3	-Rp104	10,00
132	3	-Rp105	10,00
133	3	-Rp120	12,00
134	3	-Rp150	14,00
135	3	-Rp180	18,00
136	3	-Rp222	22,00
137	3	-Rp250	25,00
138	3	-Rp304	30,00
139	3	-Rp310	30,00
140	3	-Rp323	32,00
141	3	-Rp500	50,00
142	3	-Rp539	53,00
143	3	-Rp629	62,00
144	3	-Rp791	79,00
145	3	-Rp869	86,00
146	3	-Rp1000	10,00
147	3	-Rp1598	15,00
148	2	-Rp11	10,00
149	2	-Rp12	11,00
150	2	-Rp12	12,00
151	2	-Rp13	13,00
152	2	-Rp13	13,00
153	2	-Rp15	15,00
154	2	-Rp16	15,00
155	2	-Rp16	15,00
156	2	-Rp17	16,00
157	2	-Rp17	17,00
158	2	-Rp18	17,00
159	2	-Rp19	19,00
160	2	-Rp20	20,00
161	2	-Rp21	20,00
162	2	-Rp21	20,00
163	2	-Rp21	21,00
164	2	-Rp22	21,00
165	2	-Rp22	22,00
166	2	-Rp23	22,00
167	2	-Rp24	24,00
168	2	-Rp25	25,00
169	2	-Rp25	25,00
170	2	-Rp25	25,00
171	2	-Rp26	25,00
172	2	-Rp27	26,00
173	2	-Rp28	27,00
174	2	-Rp32	31,00
175	2	-Rp32	31,00
176	2	-Rp32	32,00
177	2	-Rp33	32,00
178	2	-Rp34	34,00
179	2	-Rp37	37,00
180	2	-Rp39	38,00
181	2	-Rp42	42,00
182	2	-Rp44	43,00
183	2	-Rp44	43,00
184	2	-Rp45	44,00
185	2	-Rp48	48,00
186	2	-Rp48	48,00
187	2	-Rp48	48,00
188	2	-Rp51	50,00
189	2	-Rp51	51,00
190	2	-Rp51	51,00
191	2	-Rp52	51,00
192	2	-Rp54	53,00
193	2	-Rp57	57,00
194	2	-Rp58	57,00
195	2	-Rp58	58,00
196	2	-Rp59	58,00
197	2	-Rp59	59,00
198	2	-Rp60	60,00
199	2	-Rp60	60,00
200	2	-Rp60	60,00
201	2	-Rp64	64,00
202	2	-Rp66	66,00
203	2	-Rp67	66,00
204	2	-Rp69	68,00
205	2	-Rp70	69,00
206	2	-Rp70	69,00
207	2	-Rp70	70,00
208	2	-Rp72	72,00
209	2	-Rp75	74,00
210	2	-Rp75	75,00
211	2	-Rp80	80,00
212	2	-Rp81	81,00
213	2	-Rp84	83,00
214	2	-Rp84	84,00
215	2	-Rp85	85,00
216	2	-Rp86	85,00
217	2	-Rp89	88,00
218	2	-Rp90	89,00
219	2	-Rp93	93,00
220	2	-Rp99	98,00
221	2	-Rp101	10,00
222	2	-Rp105	10,00
223	2	-Rp106	10,00
224	2	-Rp106	10,00
225	2	-Rp108	10,00
226	2	-Rp114	11,00
227	2	-Rp121	12,00
228	2	-Rp121	12,00
229	2	-Rp124	12,00
230	2	-Rp135	13,00
231	2	-Rp135	13,00
232	2	-Rp138	13,00
233	2	-Rp144	14,00
234	2	-Rp150	15,00
235	2	-Rp150	15,00
236	2	-Rp153	15,00
237	2	-Rp161	16,00
238	2	-Rp164	16,00
239	2	-Rp164	16,00
240	2	-Rp175	17,00
241	2	-Rp175	17,00
242	2	-Rp176	17,00
243	2	-Rp177	17,00
244	2	-Rp180	18,00
245	2	-Rp195	19,00
246	2	-Rp206	20,00
247	2	-Rp210	21,00
248	2	-Rp224	22,00
249	2	-Rp224	22,00
250	2	-Rp225	22,00
251	2	-Rp225	22,00
252	2	-Rp233	23,00
253	2	-Rp237	23,00
254	2	-Rp238	23,00
255	2	-Rp252	25,00
256	2	-Rp269	26,00
257	2	-Rp272	27,00
258	2	-Rp299	29,00
259	2	-Rp302	30,00
260	2	-Rp318	31,00
261	2	-Rp340	34,00
262	2	-Rp359	35,00
263	2	-Rp367	36,00
264	2	-Rp376	37,00
265	2	-Rp403	40,00
266	2	-Rp420	41,00
267	2	-Rp426	42,00
268	2	-Rp440	44,00
269	2	-Rp455	45,00
270	2	-Rp499	49,00
271	2	-Rp516	51,00
272	2	-Rp536	53,00
273	2	-Rp595	59,00
274	2	-Rp601	60,00
275	2	-Rp611	61,00
276	2	-Rp629	62,00
277	2	-Rp630	63,00
278	2	-Rp646	64,00
279	2	-Rp654	65,00
280	2	-Rp689	68,00
281	2	-Rp690	69,00
282	2	-Rp693	69,00
283	2	-Rp714	71,00
284	2	-Rp734	73,00
285	2	-Rp749	74,00
286	2	-Rp750	75,00
287	2	-Rp754	75,00
288	2	-Rp800	80,00
289	2	-Rp866	86,00
290	2	-Rp900	90,00
291	2	-Rp911	91,00
292	2	-Rp920	91,00
293	2	-Rp920	92,00
294	2	-Rp1018	10,00
295	2	-Rp1124	11,00
296	2	-Rp1128	11,00
297	2	-Rp1168	11,00
298	2	-Rp1258	12,00
299	2	-Rp1318	13,00
300	2	-Rp1350	13,00
301	2	-Rp1438	14,00
302	2	-Rp1476	14,00
303	2	-Rp1800	18,00
304	2	-Rp2128	21,00
305	2	-Rp2356	23,00
306	2	-Rp2616	26,00
307	2	-Rp2735	27,00
308	2	-Rp3666	36,00
309	2	-Rp4472	44,00
310	2	-Rp5284	52,00
311	2	-Rp5973	59,00
312	2	-Rp7434	74,00
313	2	-Rp7921	79,00
314	2	-Rp9503	95,00
315	2	-Rp13024	13,00
316	2	-Rp18440	18,00
317	2	-Rp19625	19,00
318	2	-Rp19652	19,00
319	2	-Rp23701	23,00
320	2	-Rp27681	27,00
321	2	-Rp28657	28,00
322	1	-Rp10	10,00
323	1	-Rp10	10,00
324	1	-Rp10	10,00
325	1	-Rp10	10,00
326	1	-Rp11	10,00
327	1	-Rp11	10,00
328	1	-Rp11	10,00
329	1	-Rp11	10,00
330	1	-Rp11	10,00
331	1	-Rp11	10,00
332	1	-Rp11	11,00
333	1	-Rp11	11,00
334	1	-Rp11	11,00
