"Rank"	"Count"	"Amount"	"FirstTwo"
1	6022	Rp50	50,00
2	2264	Rp1153	11,00
3	1185	Rp1083	10,00
4	1056	Rp150	15,00
5	1018	Rp988	98,00
6	976	Rp1159	11,00
7	956	Rp25	25,00
8	938	Rp90	90,00
9	907	Rp928	92,00
10	729	Rp994	99,00
11	672	Rp30	30,00
12	657	Rp250	25,00
13	631	Rp200	20,00
14	624	Rp100	10,00
15	617	Rp300	30,00
16	602	Rp45	45,00
17	578	Rp1118	11,00
18	565	Rp1318	13,00
19	559	Rp964	96,00
20	517	Rp1018	10,00
21	460	Rp958	95,00
22	434	Rp125	12,00
23	401	Rp225	22,00
24	391	Rp40	40,00
25	362	Rp1024	10,00
26	355	Rp869	86,00
27	337	Rp175	17,00
28	335	Rp899	89,00
29	325	Rp20	20,00
30	322	Rp75	75,00
31	308	Rp210	21,00
32	303	Rp934	93,00
33	301	Rp60	60,00
34	298	Rp600	60,00
35	295	Rp1054	10,00
36	287	Rp1049	10,00
37	285	Rp80	80,00
38	277	Rp30	29,00
39	270	Rp400	40,00
40	263	Rp1014	10,00
41	262	Rp35	35,00
42	231	Rp500	50,00
43	223	Rp16	15,00
44	221	Rp10	10,00
45	220	Rp450	45,00
46	218	Rp275	27,00
47	214	Rp163	16,00
48	210	Rp120	12,00
49	203	Rp15	15,00
50	202	Rp1120	11,00
51	202	Rp240	24,00
52	190	Rp65	65,00
53	184	Rp34	33,00
54	174	Rp105	10,00
55	171	Rp350	35,00
56	166	Rp160	16,00
57	162	Rp1194	11,00
58	157	Rp165	16,00
59	154	Rp135	13,00
60	154	Rp21	21,00
61	153	Rp88	88,00
62	152	Rp59	59,00
63	147	Rp130	13,00
64	147	Rp55	55,00
65	144	Rp170	17,00
66	143	Rp56	56,00
67	143	Rp48	48,00
68	143	Rp31	31,00
69	142	Rp16	16,00
70	141	Rp180	18,00
71	141	Rp70	70,00
72	136	Rp325	32,00
73	136	Rp195	19,00
74	133	Rp1000	10,00
75	133	Rp428	42,00
76	132	Rp53	53,00
77	130	Rp27	26,00
78	129	Rp472	47,00
79	127	Rp185	18,00
80	126	Rp260	26,00
81	125	Rp1188	11,00
82	125	Rp140	14,00
83	122	Rp360	36,00
84	120	Rp56	56,00
85	119	Rp188	18,00
86	117	Rp375	37,00
87	114	Rp213	21,00
88	113	Rp145	14,00
89	113	Rp91	91,00
90	112	Rp85	85,00
91	112	Rp68	67,00
92	112	Rp63	62,00
93	110	Rp110	11,00
94	107	Rp550	55,00
95	104	Rp29	28,00
96	102	Rp220	22,00
97	101	Rp26	26,00
98	100	Rp32	32,00
99	99	Rp750	75,00
100	97	Rp480	48,00
101	97	Rp425	42,00
102	96	Rp700	70,00
103	96	Rp95	95,00
104	95	Rp190	19,00
105	95	Rp49	49,00
106	94	Rp575	57,00
107	94	Rp290	29,00
108	94	Rp235	23,00
109	94	Rp38	37,00
110	94	Rp13	12,00
111	94	Rp11	10,00
112	93	Rp115	11,00
113	92	Rp420	42,00
114	92	Rp219	21,00
115	92	Rp44	43,00
116	91	Rp270	27,00
117	91	Rp64	64,00
118	90	Rp1500	15,00
119	89	Rp839	83,00
120	89	Rp54	54,00
121	88	Rp245	24,00
122	88	Rp72	72,00
123	86	Rp42	42,00
124	85	Rp1021	10,00
125	85	Rp124	12,00
126	84	Rp1124	11,00
127	84	Rp206	20,00
128	84	Rp18	17,00
129	83	Rp900	90,00
130	83	Rp19	18,00
131	82	Rp11	11,00
132	81	Rp1309	13,00
133	81	Rp560	56,00
134	81	Rp234	23,00
135	81	Rp16	16,00
136	79	Rp54	54,00
137	78	Rp29	29,00
138	78	Rp16	15,00
139	77	Rp26	26,00
140	76	Rp650	65,00
141	76	Rp28	28,00
142	75	Rp193	19,00
143	75	Rp178	17,00
144	75	Rp155	15,00
145	75	Rp13	12,00
146	74	Rp36	36,00
147	74	Rp11	10,00
148	73	Rp230	23,00
149	73	Rp138	13,00
150	73	Rp22	21,00
151	72	Rp32	31,00
152	72	Rp27	26,00
153	70	Rp800	80,00
154	70	Rp52	51,00
155	70	Rp12	12,00
156	67	Rp3000	30,00
157	67	Rp525	52,00
158	67	Rp315	31,00
159	67	Rp215	21,00
160	67	Rp96	96,00
161	67	Rp49	49,00
162	67	Rp25	24,00
163	66	Rp285	28,00
164	66	Rp86	85,00
165	66	Rp47	46,00
166	66	Rp20	19,00
167	65	Rp68	67,00
168	64	Rp64	64,00
169	63	Rp1080	10,00
170	63	Rp599	59,00
171	63	Rp308	30,00
172	62	Rp1200	12,00
173	62	Rp629	62,00
174	62	Rp330	33,00
175	62	Rp194	19,00
176	62	Rp13	13,00
177	61	Rp1290	12,00
178	61	Rp280	28,00
179	61	Rp18	18,00
180	61	Rp14	13,00
181	60	Rp2600	26,00
182	60	Rp989	98,00
183	60	Rp82	82,00
184	60	Rp29	29,00
185	60	Rp23	22,00
186	59	Rp2000	20,00
187	59	Rp24	24,00
188	58	Rp1048	10,00
189	58	Rp850	85,00
190	58	Rp320	32,00
191	58	Rp262	26,00
192	58	Rp46	46,00
193	57	Rp221	22,00
194	57	Rp104	10,00
195	57	Rp84	84,00
196	57	Rp13	13,00
197	56	Rp475	47,00
198	56	Rp295	29,00
199	56	Rp99	99,00
200	55	Rp1560	15,00
201	55	Rp148	14,00
202	54	Rp504	50,00
203	54	Rp347	34,00
204	54	Rp238	23,00
205	54	Rp113	11,00
206	54	Rp93	93,00
207	54	Rp74	74,00
208	53	Rp390	39,00
209	53	Rp255	25,00
210	53	Rp39	39,00
211	52	Rp186	18,00
212	52	Rp77	76,00
213	51	Rp476	47,00
214	51	Rp263	26,00
215	51	Rp68	68,00
216	51	Rp47	46,00
217	51	Rp20	19,00
218	50	Rp144	14,00
219	50	Rp126	12,00
220	50	Rp109	10,00
221	50	Rp107	10,00
222	50	Rp92	92,00
223	49	Rp1800	18,00
224	49	Rp540	54,00
225	49	Rp479	47,00
226	49	Rp115	11,00
227	49	Rp57	57,00
228	49	Rp36	36,00
229	49	Rp14	13,00
230	48	Rp197	19,00
231	48	Rp138	13,00
232	48	Rp58	58,00
233	48	Rp33	33,00
234	48	Rp11	11,00
235	47	Rp335	33,00
236	47	Rp108	10,00
237	47	Rp78	78,00
238	47	Rp23	23,00
239	46	Rp625	62,00
240	46	Rp69	69,00
241	46	Rp58	58,00
242	46	Rp50	49,00
243	46	Rp31	31,00
244	45	Rp840	84,00
245	45	Rp104	10,00
246	45	Rp61	61,00
247	45	Rp19	19,00
248	45	Rp19	18,00
249	44	Rp990	98,00
250	44	Rp288	28,00
251	44	Rp216	21,00
252	44	Rp205	20,00
253	44	Rp129	12,00
254	44	Rp114	11,00
255	44	Rp38	38,00
256	44	Rp18	18,00
257	44	Rp17	16,00
258	44	Rp14	14,00
259	43	Rp149	14,00
260	43	Rp132	13,00
261	43	Rp33	32,00
262	43	Rp19	18,00
263	42	Rp1252	12,00
264	42	Rp862	86,00
265	42	Rp720	72,00
266	42	Rp98	98,00
267	42	Rp76	76,00
268	42	Rp69	69,00
269	41	Rp2400	24,00
270	41	Rp102	10,00
271	41	Rp66	66,00
272	41	Rp64	63,00
273	41	Rp14	13,00
274	40	Rp356	35,00
275	40	Rp199	19,00
276	40	Rp179	17,00
277	40	Rp83	82,00
278	40	Rp25	24,00
279	40	Rp11	11,00
280	39	Rp1250	12,00
281	39	Rp448	44,00
282	39	Rp396	39,00
283	39	Rp113	11,00
284	39	Rp94	94,00
285	39	Rp71	71,00
286	39	Rp48	48,00
287	38	Rp796	79,00
288	38	Rp660	66,00
289	38	Rp495	49,00
290	38	Rp265	26,00
291	38	Rp264	26,00
292	38	Rp34	34,00
293	38	Rp25	24,00
294	38	Rp18	17,00
295	38	Rp18	17,00
296	38	Rp12	11,00
297	38	Rp11	11,00
298	37	Rp1120	11,00
299	37	Rp1050	10,00
300	37	Rp640	64,00
301	37	Rp551	55,00
302	37	Rp528	52,00
