"Count"	"Amount"	"FirstTwo"
7	-Rp4	-4,00
7	-Rp6	-6,00
4	-Rp5	-4,00
4	-Rp9	-9,00
3	-Rp5	-4,00
3	-Rp5	-5,00
3	-Rp5	-5,00
3	-Rp6	-6,00
3	-Rp7	-7,00
3	-Rp7	-7,00
2	-Rp2	-2,00
2	-Rp3	-2,00
2	-Rp3	-3,00
2	-Rp4	-3,00
2	-Rp5	-5,00
2	-Rp5	-5,00
2	-Rp6	-5,00
2	-Rp6	-5,00
2	-Rp6	-5,00
2	-Rp6	-6,00
2	-Rp7	-6,00
2	-Rp8	-8,00
2	-Rp9	-9,00
2	-Rp10	-9,00
2	-Rp10	-9,00
2	-Rp10	-9,00
2	-Rp10	-9,00
1	-Rp0	-0,00
1	-Rp0	-0,00
1	-Rp0	-0,00
1	-Rp1	-0,00
1	-Rp1	-1,00
1	-Rp1	-1,00
1	-Rp1	-1,00
1	-Rp1	-1,00
1	-Rp2	-1,00
1	-Rp2	-1,00
1	-Rp2	-1,00
1	-Rp2	-1,00
1	-Rp2	-1,00
1	-Rp2	-2,00
1	-Rp2	-2,00
1	-Rp2	-2,00
1	-Rp2	-2,00
1	-Rp2	-2,00
1	-Rp3	-2,00
1	-Rp3	-2,00
1	-Rp3	-2,00
1	-Rp3	-2,00
1	-Rp3	-2,00
1	-Rp3	-2,00
1	-Rp3	-2,00
1	-Rp3	-3,00
1	-Rp3	-3,00
1	-Rp3	-3,00
1	-Rp3	-3,00
1	-Rp3	-3,00
1	-Rp4	-3,00
1	-Rp4	-3,00
1	-Rp4	-3,00
1	-Rp4	-3,00
1	-Rp4	-3,00
1	-Rp4	-3,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp4	-4,00
1	-Rp5	-4,00
1	-Rp5	-4,00
1	-Rp5	-4,00
1	-Rp5	-4,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp5	-5,00
1	-Rp6	-5,00
1	-Rp6	-5,00
1	-Rp6	-5,00
1	-Rp6	-5,00
1	-Rp6	-5,00
1	-Rp6	-5,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp6	-6,00
1	-Rp7	-6,00
1	-Rp7	-6,00
1	-Rp7	-6,00
1	-Rp7	-6,00
1	-Rp7	-7,00
1	-Rp7	-7,00
1	-Rp7	-7,00
1	-Rp7	-7,00
1	-Rp7	-7,00
1	-Rp7	-7,00
1	-Rp8	-7,00
1	-Rp8	-7,00
1	-Rp8	-7,00
1	-Rp8	-7,00
1	-Rp8	-7,00
1	-Rp8	-7,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp8	-8,00
1	-Rp9	-8,00
1	-Rp9	-8,00
1	-Rp9	-8,00
1	-Rp9	-8,00
1	-Rp9	-8,00
1	-Rp9	-8,00
1	-Rp9	-8,00
1	-Rp9	-9,00
1	-Rp9	-9,00
1	-Rp9	-9,00
1	-Rp9	-9,00
1	-Rp9	-9,00
1	-Rp9	-9,00
1	-Rp10	-9,00
1	-Rp10	-9,00
1	-Rp10	-9,00
1	-Rp10	-9,00
1	-Rp10	-9,00
1	-Rp10	-9,00
1	-Rp10	-9,00
