"Rank"	"Count"	"Amount"	"FirstTwo"
1	204	Rp5	5,00
2	152	Rp9	9,00
3	145	Rp6	6,00
4	144	Rp0	0,00
5	130	Rp5	5,00
6	118	Rp2	2,00
7	110	Rp4	4,00
8	100	Rp6	6,00
9	100	Rp1	0,00
10	91	Rp1	0,00
11	77	Rp9	8,00
12	77	Rp6	5,00
13	76	Rp5	4,00
14	67	Rp0	0,00
15	66	Rp4	4,00
16	65	Rp4	3,00
17	62	Rp8	8,00
18	61	Rp4	3,00
19	60	Rp7	7,00
20	55	Rp4	3,00
21	51	Rp9	9,00
22	50	Rp10	9,00
23	50	Rp9	8,00
24	49	Rp0	0,00
25	47	Rp8	8,00
26	45	Rp3	3,00
27	43	Rp10	9,00
28	43	Rp9	8,00
29	42	Rp4	3,00
30	40	Rp6	6,00
31	40	Rp3	3,00
32	39	Rp7	6,00
33	38	Rp9	8,00
34	38	Rp5	5,00
35	38	Rp3	2,00
36	37	Rp8	7,00
37	37	Rp7	7,00
38	36	Rp8	8,00
39	36	Rp6	6,00
40	35	Rp5	5,00
41	31	Rp4	3,00
42	30	Rp4	3,00
43	29	Rp8	7,00
44	28	Rp9	8,00
45	28	Rp6	5,00
46	27	Rp2	2,00
47	26	Rp4	3,00
48	25	Rp10	9,00
49	25	Rp9	9,00
50	25	Rp8	7,00
51	25	Rp2	2,00
52	25	Rp1	0,00
53	24	Rp6	5,00
54	23	Rp7	7,00
55	23	Rp4	4,00
56	22	Rp10	9,00
57	21	Rp6	5,00
58	20	Rp10	9,00
59	20	Rp9	9,00
60	20	Rp9	9,00
61	20	Rp8	7,00
62	20	Rp7	7,00
63	20	Rp5	5,00
64	20	Rp1	1,00
65	19	Rp9	8,00
66	19	Rp8	7,00
67	19	Rp6	6,00
68	19	Rp6	6,00
69	19	Rp4	3,00
70	18	Rp7	6,00
71	18	Rp5	4,00
72	18	Rp4	4,00
73	18	Rp4	3,00
74	18	Rp3	3,00
75	17	Rp7	7,00
76	17	Rp5	5,00
77	17	Rp5	4,00
78	17	Rp4	3,00
79	16	Rp9	8,00
80	16	Rp8	8,00
81	16	Rp7	7,00
82	16	Rp7	7,00
83	16	Rp5	4,00
84	16	Rp4	4,00
85	15	Rp9	9,00
86	15	Rp7	7,00
87	15	Rp6	5,00
88	15	Rp5	4,00
89	15	Rp4	3,00
90	15	Rp3	2,00
91	15	Rp2	1,00
92	14	Rp10	9,00
93	14	Rp10	9,00
94	14	Rp9	9,00
95	14	Rp8	8,00
96	14	Rp8	8,00
97	14	Rp8	7,00
98	14	Rp5	5,00
99	14	Rp3	3,00
100	14	Rp3	2,00
101	14	Rp1	0,00
102	13	Rp9	8,00
103	13	Rp9	8,00
104	13	Rp8	8,00
105	13	Rp8	7,00
106	13	Rp8	7,00
107	13	Rp8	7,00
108	13	Rp7	7,00
109	13	Rp5	5,00
110	13	Rp5	5,00
111	13	Rp3	3,00
112	13	Rp3	2,00
113	13	Rp0	0,00
114	12	Rp10	9,00
115	12	Rp10	9,00
116	12	Rp7	7,00
117	12	Rp6	6,00
118	12	Rp6	5,00
119	12	Rp5	5,00
120	12	Rp3	3,00
121	12	Rp3	3,00
122	11	Rp10	9,00
123	11	Rp9	8,00
124	11	Rp9	8,00
125	11	Rp8	8,00
126	11	Rp8	8,00
127	11	Rp8	8,00
128	11	Rp8	7,00
129	11	Rp7	7,00
130	11	Rp6	5,00
131	10	Rp9	9,00
132	10	Rp9	9,00
133	10	Rp9	9,00
134	10	Rp9	9,00
135	10	Rp9	9,00
136	10	Rp9	9,00
137	10	Rp9	9,00
138	10	Rp9	8,00
139	10	Rp8	7,00
140	10	Rp7	7,00
141	10	Rp7	6,00
142	10	Rp7	6,00
143	10	Rp7	6,00
144	10	Rp7	6,00
145	10	Rp6	6,00
146	10	Rp6	5,00
147	10	Rp4	3,00
148	10	Rp3	3,00
149	10	Rp3	3,00
150	10	Rp2	2,00
151	9	Rp10	9,00
152	9	Rp10	9,00
153	9	Rp10	9,00
154	9	Rp10	9,00
155	9	Rp9	9,00
156	9	Rp9	8,00
157	9	Rp9	8,00
158	9	Rp8	8,00
159	9	Rp8	8,00
160	9	Rp8	7,00
161	9	Rp8	7,00
162	9	Rp7	7,00
163	9	Rp7	7,00
164	9	Rp7	7,00
165	9	Rp6	6,00
166	9	Rp6	6,00
167	9	Rp5	5,00
168	9	Rp5	5,00
169	9	Rp5	4,00
170	9	Rp4	4,00
171	9	Rp4	4,00
172	9	Rp4	4,00
173	9	Rp4	4,00
174	9	Rp3	2,00
175	9	Rp3	2,00
176	9	Rp2	2,00
177	9	Rp2	1,00
178	9	Rp1	0,00
179	8	Rp10	9,00
180	8	Rp9	9,00
181	8	Rp9	9,00
182	8	Rp9	9,00
183	8	Rp9	8,00
184	8	Rp9	8,00
185	8	Rp9	8,00
186	8	Rp9	8,00
187	8	Rp9	8,00
188	8	Rp8	8,00
189	8	Rp8	8,00
190	8	Rp8	8,00
191	8	Rp8	7,00
192	8	Rp8	7,00
193	8	Rp7	7,00
194	8	Rp7	6,00
195	8	Rp7	6,00
196	8	Rp6	6,00
197	8	Rp6	6,00
198	8	Rp6	5,00
199	8	Rp5	4,00
200	8	Rp5	4,00
201	8	Rp5	4,00
202	8	Rp5	4,00
203	8	Rp4	4,00
204	8	Rp4	4,00
205	8	Rp4	4,00
206	8	Rp4	3,00
207	8	Rp4	3,00
208	8	Rp3	3,00
209	8	Rp3	2,00
210	8	Rp2	1,00
211	7	Rp10	9,00
212	7	Rp9	9,00
213	7	Rp9	9,00
214	7	Rp9	9,00
215	7	Rp9	9,00
216	7	Rp9	8,00
217	7	Rp9	8,00
218	7	Rp9	8,00
219	7	Rp8	8,00
220	7	Rp8	8,00
221	7	Rp8	8,00
222	7	Rp8	7,00
223	7	Rp7	7,00
224	7	Rp7	6,00
225	7	Rp7	6,00
226	7	Rp7	6,00
227	7	Rp7	6,00
228	7	Rp7	6,00
229	7	Rp7	6,00
230	7	Rp7	6,00
231	7	Rp6	6,00
232	7	Rp6	6,00
233	7	Rp6	6,00
234	7	Rp6	5,00
235	7	Rp6	5,00
236	7	Rp6	5,00
237	7	Rp6	5,00
238	7	Rp6	5,00
239	7	Rp5	5,00
240	7	Rp5	5,00
241	7	Rp5	5,00
242	7	Rp5	4,00
243	7	Rp5	4,00
244	7	Rp5	4,00
245	7	Rp5	4,00
246	7	Rp5	4,00
247	7	Rp4	4,00
248	7	Rp4	3,00
249	7	Rp4	3,00
250	7	Rp4	3,00
251	7	Rp4	3,00
252	7	Rp3	3,00
253	7	Rp3	3,00
254	7	Rp2	2,00
255	7	Rp2	1,00
256	7	Rp2	1,00
257	7	Rp2	1,00
258	7	Rp1	1,00
259	7	Rp1	1,00
260	6	Rp10	9,00
261	6	Rp10	9,00
262	6	Rp10	9,00
263	6	Rp10	9,00
264	6	Rp10	9,00
265	6	Rp10	9,00
266	6	Rp10	9,00
267	6	Rp10	9,00
268	6	Rp9	9,00
269	6	Rp9	9,00
270	6	Rp9	9,00
271	6	Rp9	9,00
272	6	Rp9	8,00
273	6	Rp8	8,00
274	6	Rp8	8,00
275	6	Rp8	7,00
276	6	Rp8	7,00
277	6	Rp8	7,00
278	6	Rp7	7,00
279	6	Rp7	7,00
280	6	Rp7	7,00
281	6	Rp7	6,00
282	6	Rp7	6,00
283	6	Rp6	6,00
284	6	Rp6	6,00
285	6	Rp6	6,00
286	6	Rp6	6,00
287	6	Rp6	6,00
288	6	Rp6	5,00
289	6	Rp6	5,00
290	6	Rp6	5,00
291	6	Rp5	5,00
292	6	Rp5	5,00
