id,nama
BELI-195,Data BELI-195
RETUR-153,Data RETUR-153
JUAL-415,Data JUAL-415
JUAL-74,Data JUAL-74
RETUR-263,Data RETUR-263
BELI-305,Data BELI-305
RETUR-482,Data RETUR-482
BELI-201,Data BELI-201
RETUR-499,Data RETUR-499
JUAL-9,Data JUAL-9
BELI-407,Data BELI-407
JUAL-68,Data JUAL-68
BELI-460,Data BELI-460
RETUR-329,Data RETUR-329
BELI-202,Data BELI-202
RETUR-63,Data RETUR-63
BELI-157,Data BELI-157
BELI-295,Data BELI-295
RETUR-248,Data RETUR-248
RETUR-66,Data RETUR-66
JUAL-164,Data JUAL-164
BELI-139,Data BELI-139
JUAL-126,Data JUAL-126
BELI-74,Data BELI-74
BELI-415,Data BELI-415
JUAL-279,Data JUAL-279
BELI-498,Data BELI-498
JUAL-490,Data JUAL-490
RETUR-233,Data RETUR-233
JUAL-4,Data JUAL-4
JUAL-463,Data JUAL-463
RETUR-423,Data RETUR-423
RETUR-105,Data RETUR-105
JUAL-361,Data JUAL-361
JUAL-336,Data JUAL-336
JUAL-58,Data JUAL-58
JUAL-286,Data JUAL-286
RETUR-4,Data RETUR-4
BELI-403,Data BELI-403
RETUR-200,Data RETUR-200
BELI-284,Data BELI-284
JUAL-18,Data JUAL-18
JUAL-6,Data JUAL-6
JUAL-442,Data JUAL-442
RETUR-46,Data RETUR-46
JUAL-28,Data JUAL-28
RETUR-366,Data RETUR-366
JUAL-252,Data JUAL-252
RETUR-380,Data RETUR-380
RETUR-171,Data RETUR-171
JUAL-455,Data JUAL-455
RETUR-390,Data RETUR-390
BELI-329,Data BELI-329
BELI-472,Data BELI-472
BELI-162,Data BELI-162
BELI-318,Data BELI-318
RETUR-483,Data RETUR-483
RETUR-40,Data RETUR-40
RETUR-470,Data RETUR-470
JUAL-293,Data JUAL-293
BELI-328,Data BELI-328
RETUR-104,Data RETUR-104
BELI-455,Data BELI-455
JUAL-8,Data JUAL-8
JUAL-466,Data JUAL-466
BELI-263,Data BELI-263
JUAL-265,Data JUAL-265
BELI-234,Data BELI-234
JUAL-424,Data JUAL-424
RETUR-152,Data RETUR-152
JUAL-245,Data JUAL-245
JUAL-495,Data JUAL-495
JUAL-212,Data JUAL-212
RETUR-210,Data RETUR-210
BELI-257,Data BELI-257
JUAL-425,Data JUAL-425
RETUR-480,Data RETUR-480
JUAL-386,Data JUAL-386
JUAL-352,Data JUAL-352
JUAL-345,Data JUAL-345
BELI-298,Data BELI-298
BELI-32,Data BELI-32
RETUR-377,Data RETUR-377
JUAL-93,Data JUAL-93
JUAL-337,Data JUAL-337
BELI-40,Data BELI-40
JUAL-191,Data JUAL-191
JUAL-186,Data JUAL-186
RETUR-88,Data RETUR-88
RETUR-168,Data RETUR-168
RETUR-317,Data RETUR-317
JUAL-242,Data JUAL-242
BELI-141,Data BELI-141
JUAL-168,Data JUAL-168
RETUR-162,Data RETUR-162
RETUR-310,Data RETUR-310
BELI-159,Data BELI-159
RETUR-277,Data RETUR-277
BELI-150,Data BELI-150
JUAL-340,Data JUAL-340
BELI-33,Data BELI-33
JUAL-436,Data JUAL-436
RETUR-80,Data RETUR-80
BELI-218,Data BELI-218
RETUR-126,Data RETUR-126
RETUR-230,Data RETUR-230
RETUR-324,Data RETUR-324
JUAL-282,Data JUAL-282
JUAL-142,Data JUAL-142
RETUR-226,Data RETUR-226
RETUR-363,Data RETUR-363
RETUR-289,Data RETUR-289
JUAL-489,Data JUAL-489
JUAL-498,Data JUAL-498
RETUR-448,Data RETUR-448
BELI-421,Data BELI-421
RETUR-336,Data RETUR-336
RETUR-180,Data RETUR-180
BELI-422,Data BELI-422
JUAL-343,Data JUAL-343
BELI-135,Data BELI-135
JUAL-330,Data JUAL-330
RETUR-254,Data RETUR-254
BELI-61,Data BELI-61
JUAL-433,Data JUAL-433
RETUR-245,Data RETUR-245
JUAL-461,Data JUAL-461
RETUR-432,Data RETUR-432
RETUR-332,Data RETUR-332
BELI-128,Data BELI-128
RETUR-500,Data RETUR-500
BELI-4,Data BELI-4
